Organism Type,Bacteria Gram Stain,Species Code,Species Full Name,Reported Name ,CLSI Breakpoint Group,Other Group,CLSI Breakpoint Group Document,,,Pooled Name,Weighted Average Rule KEY,Reporting Rules,Weighted Average Rules
Bacteria,Positive,abidef,Abiotrophia defectiva,Abiotrophia spp.,Abiotrophia and Granulicatella,,M45,,,"Redundant, this is now Reported Name",,,
Bacteria,Positive,abispe,Abiotrophia species,Abiotrophia spp. ,Abiotrophia and Granulicatella,,M45,,ex. SPICE,"Data for rows with all same names under ""E"" should be pooled together",,,
Filamentous Fungi,,abscor,Absidia corymbifera,,,,,,https://em100.edaptivedocs.net/GetDoc.aspx?doc=CLSI%20M100%20ED34:2024&sbssok=CLSI%20M100%20ED34:2024%20SECTION%20INTRODUCTION%20TO%20TABLES%201A-1P.%20ANTIMICROBIAL%20AGENTS%20THAT%20SHOULD%20BE%20CONSIDERED%20FOR%20TESTING%20AND%20REPORTING%20BY%20MICROBIOLOGY%20LABORATORIES&format=HTML#CLSI%20M100%20ED34:2024%20SECTION%20INTRODUCTION%20TO%20TABLES%201A-1P.%20ANTIMICROBIAL%20AGENTS%20THAT%20SHOULD%20BE%20CONSIDERED%20FOR%20TESTING%20AND%20REPORTING%20BY%20MICROBIOLOGY%20LABORATORIES,,,,
Filamentous Fungi,,absspp,Absidia species,,,,,,,,,,
Amoeba,,acaspp,Acanthamoeba species,Acanthamoeba species,,,,,,,,,
Bacteria,Negative,acespe,Acetobacter species,Acetobacter species,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,alcxld,Achromobacter denitrificans,Achromobacter spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,achpie,Achromobacter piechaudii,Achromobacter spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,achxyl,Achromobacter xylosoxidans,Achromobacter spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,achxyd,Achromobacter xylosoxidans ss.denitrificans,Achromobacter spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,achxde,Achromobacter xylosoxidans/denitrificans,Achromobacter spp.,Other Non-Enterobacterales,,,,,,,,
Bacteria,Negative,acdspe,Acidovorax species,Acidovorax species,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,acitem,Acidovorax temperans,Acidovorax species,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,acibau,Acinetobacter baumannii,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acibcx,Acinetobacter baumannii complex,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acicba,Acinetobacter calcoaceticus bio. anitratus,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acicbm,Acinetobacter calcoaceticus-baumannii complex,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acihae,Acinetobacter haemolyticus,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acijoh,Acinetobacter johnsonii,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acijun,Acinetobacter junii,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acilwo,Acinetobacter lwoffii,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acinos,Acinetobacter nosocomialis,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acipit,Acinetobacter pittii,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acirad,Acinetobacter radioresistens,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
Bacteria,Negative,acispe,Acinetobacter species,Acinetobacter spp.,Acinetobacter spp.,,M100,,,Acinetobacter spp.,,,
